Username	Category	#Followers	#Followees	#Posts
facesbyaimee	beauty	5752	1862	2176
kamilatchara	beauty	27712	1162	1878
taiba_rajab	beauty	19331	2380	798
fanneydora.com_	beauty	6952	1675	505
amy.lozy	beauty	17940	744	788
thevavoomfactory	beauty	1376	1425	476
tamiastyles	beauty	62756	1849	637
emilywolfbeauty	beauty	89347	1333	1381
veenaz_kit	beauty	22418	2013	1262
brittanie_evans	beauty	507257	779	1568
xanderaogami	beauty	2112	249	477
maryrouge86	beauty	4034	1478	719
celines__	beauty	150115	323	540
15minbeauty	beauty	5387	1549	354
curvin_goddess	beauty	5750	5696	1916
juliadantasbeauty	beauty	30995	2463	1104
hanihanss	beauty	62042	3135	258
jazznicole	beauty	13153	576	746
faithdrew	beauty	11868	900	428
missgeorgie_	beauty	4232	226	1550
kamelashair	beauty	17219	1092	2210
showgirlwigs	beauty	1563	440	443
bayareabeautyblogger	beauty	1553	707	1046
armineisajan	beauty	173834	737	333
doseofshay	beauty	9080	7469	496
breeannbarbie	beauty	20545	314	1460
beautygala	beauty	30535	887	3753
hairnbeautydirectory	beauty	739033	0	9806
alexander.danilov_	beauty	33440	2933	3080
karlibra	beauty	75778	973	3982
vava_beauty	beauty	108760	842	506
jewejewebee	beauty	267681	444	1093
curlswithcoral	beauty	42419	1166	742
unswayedbeauty	beauty	2260	1498	506
happydartist	beauty	195331	152	840
zorainsstudio	beauty	20396	6820	1911
arielvscupcake_	beauty	52217	638	348
liojaviermua	beauty	1010	807	1070
tinaszabados	beauty	18259	254	2415
giuliacova87	beauty	34064	1574	1327
alksne	beauty	8363	381	975
pixiwoos	beauty	807444	1469	3036
jordananastasia_	beauty	21174	2102	345
_geheimnisvoll	beauty	62436	103	356
heyratolina	beauty	226003	652	1082
j.spotstudio	beauty	8299	205	1702
ra1ning2	beauty	54997	687	997
timaloveslemons	beauty	12391	946	1007
beu_seul2	beauty	3027	730	274
